YearOlympic,OlympicName,OlympicCountry,OlympicCity,WinnerName,WinnerNationality,WinnerDateBirth,WinnerGender,Sport,Discipline,Medal
2008,2008 Summergames Beijing,China,Beijing,Angelo Taylor,United States,NULL,Man,Athletics,4 x 400 m relay,Gold
2008,2008 Summergames Beijing,China,Beijing,Chen Ruolin,China,NULL,Woman,Diving,10 metre platform,Gold
2008,2008 Summergames Beijing,China,Beijing,Chen Ruolin,China,NULL,Woman,Diving,Synchronized 10 metre platform,Gold
2008,2008 Summergames Beijing,China,Beijing,Chen Yibing,China,NULL,Man,Gymnastics,Rings,Gold
2008,2008 Summergames Beijing,China,Beijing,Chen Yibing,China,NULL,Man,Gymnastics,Team all-around,Gold
2008,2008 Summergames Beijing,China,Beijing,Bradley Wiggins,Great Britain,NULL,Man,Cycling,Individual pursuit,Gold
2008,2008 Summergames Beijing,China,Beijing,Bradley Wiggins,Great Britain,NULL,Man,Cycling,Team pursuit,Gold
2008,2008 Summergames Beijing,China,Beijing,Britta Steffen,Germany,NULL,Woman,Swimming,100m freestyle,Gold
2008,2008 Summergames Beijing,China,Beijing,Britta Steffen,Germany,NULL,Woman,Swimming,50m freestyle,Gold
2008,2008 Summergames Beijing,China,Beijing,Kenenisa Bekele,Ethiopia,NULL,Man,Athletics,10000 metres,Gold
2008,2008 Summergames Beijing,China,Beijing,Kenenisa Bekele,Ethiopia,NULL,Man,Athletics,5000 metres,Gold
2008,2008 Summergames Beijing,China,Beijing,LaShawn Merritt,United States,NULL,Man,Athletics,400 metres,Gold
2008,2008 Summergames Beijing,China,Beijing,LaShawn Merritt,United States,NULL,Man,Athletics,4 x 400 m relay,Gold
2008,2008 Summergames Beijing,China,Beijing,Ma Lin,China,NULL,Man,Table Tennis,Singles,Gold
2008,2008 Summergames Beijing,China,Beijing,Ma Lin,China,NULL,Man,Table Tennis,Teams,Gold
2008,2008 Summergames Beijing,China,Beijing,Tirunesh Dibaba,Ethiopia,NULL,Woman,Athletics,10000 metres,Gold
2008,2008 Summergames Beijing,China,Beijing,Tirunesh Dibaba,Ethiopia,NULL,Woman,Athletics,5000 metres,Gold
