Key,Name,Country,City,URL
2008_Sum,2008 Summergames Beijing,China,Beijing,http://www.theolympicdatabase.nl/2008_Summergames_Beijing/olympic/games/49
2006_Win,2006 Wintergames Turin,Italy,Turin,http://www.theolympicdatabase.nl/2006_Wintergames_Turin/olympic/games/48
2004_Sum,2004 Summergames Athens,Greece,Athens,http://www.theolympicdatabase.nl/2004_Summergames_Athens/olympic/games/47
2002_Win,2002 Wintergames Salt Lake City,United States,Salt Lake City,http://www.theolympicdatabase.nl/2002_Wintergames_Salt_Lake_City/olympic/games/46
2000_Sum,2000 Summergames Sydney,Australia,Sydney,http://www.theolympicdatabase.nl/2000_Summergames_Sydney/olympic/games/45
